"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"2010/11","S92000003","d",3,"SMR04"," ","3700"," ","349.52"," ","2790"," ","263.56"," ","780"," ","73.68"," "
"2010/11","S92000003","d",4,"SMR04"," ","2780"," ","266.08"," ","2130"," ","203.86"," ","600"," ","57.43"," "
"2010/11","S92000003","d",5,"SMR04"," ","2050"," ","199.79"," ","1560"," ","152.04"," ","450"," ","43.86"," "
"2011/12","S92000003","d",1,"SMR04"," ","7080"," ","657.29"," ","5080"," ","471.61"," ","1000"," ","92.84"," "
"2011/12","S92000003","d",2,"SMR04"," ","5350"," ","501.95"," ","3870"," ","363.09"," ","890"," ","83.5"," "
"2011/12","S92000003","d",3,"SMR04"," ","3620"," ","338.77"," ","2710"," ","253.61"," ","780"," ","72.99"," "
"2011/12","S92000003","d",4,"SMR04"," ","2880"," ","272.5"," ","2160"," ","204.38"," ","550"," ","52.04"," "
"2011/12","S92000003","d",5,"SMR04"," ","1980"," ","191.96"," ","1520"," ","147.37"," ","410"," ","39.75"," "
"2012/13","S92000003","d",1,"SMR04"," ","6850"," ","636.57"," ","4940"," ","459.07"," ","950"," ","88.28"," "
"2012/13","S92000003","d",2,"SMR04"," ","5120"," ","480.6"," ","3790"," ","355.75"," ","910"," ","85.42"," "
"2012/13","S92000003","d",3,"SMR04"," ","3860"," ","359.44"," ","2860"," ","266.32"," ","780"," ","72.63"," "
"2012/13","S92000003","d",4,"SMR04"," ","2780"," ","261.46"," ","2100"," ","197.51"," ","520"," ","48.91"," "
"2012/13","S92000003","d",5,"SMR04"," ","2040"," ","197.09"," ","1540"," ","148.79"," ","410"," ","39.61"," "
"2013/14","S92000003","d",1,"SMR04"," ","6840"," ","635.79"," ","4950"," ","460.11"," ","940"," ","87.37"," "
"2013/14","S92000003","d",2,"SMR04"," ","4970"," ","466.42"," ","3620"," ","339.73"," ","830"," ","77.89"," "
"2013/14","S92000003","d",3,"SMR04"," ","3690"," ","343.17"," ","2700"," ","251.1"," ","870"," ","80.91"," "
"2013/14","S92000003","d",4,"SMR04"," ","2920"," ","273.13"," ","2160"," ","202.04"," ","520"," ","48.64"," "
"2013/14","S92000003","d",5,"SMR04"," ","2060"," ","197.71"," ","1520"," ","145.88"," ","390"," ","37.43"," "
"2014/15","S92000003","d",1,"SMR04"," ","6990"," ","653.55"," ","4930"," ","460.94"," ","960"," ","89.76"," "
"2014/15","S92000003","d",2,"SMR04"," ","5080"," ","474.79"," ","3420"," ","319.64"," ","770"," ","71.97"," "
"2014/15","S92000003","d",3,"SMR04"," ","3890"," ","363.88"," ","2720"," ","254.43"," ","780"," ","72.96"," "
"2014/15","S92000003","d",4,"SMR04"," ","2780"," ","259.77"," ","1990"," ","185.95"," ","540"," ","50.46"," "
"2014/15","S92000003","d",5,"SMR04"," ","2040"," ","190.85"," ","1450"," ","135.66"," ","440"," ","41.16"," "
"2015/16","S92000003","d",1,"SMR04"," ","6960"," ","648.39"," ","4820"," ","449.03"," ","960"," ","89.43"," "
"2015/16","S92000003","d",2,"SMR04"," ","5390"," ","502.23"," ","3560"," ","331.72"," ","750"," ","69.88"," "
"2015/16","S92000003","d",3,"SMR04"," ","4130"," ","385.25"," ","2780"," ","259.32"," ","770"," ","71.83"," "
"2015/16","S92000003","d",4,"SMR04"," ","2860"," ","265.19"," ","1970"," ","182.66"," ","560"," ","51.92"," "
"2015/16","S92000003","d",5,"SMR04"," ","2170"," ","201.71"," ","1500"," ","139.43"," ","380"," ","35.32"," "
"2016/17","S92000003","d",1,"SMR04"," ","6770"," ","627.34"," ","4690"," ","434.6"," ","910"," ","84.33"," "
"2016/17","S92000003","d",2,"SMR04"," ","5140"," ","477.31"," ","3400"," ","315.73"," ","720"," ","66.86"," "
"2016/17","S92000003","d",3,"SMR04"," ","3920"," ","363.76"," ","2680"," ","248.7"," ","740"," ","68.67"," "
"2016/17","S92000003","d",4,"SMR04"," ","2770"," ","254.77"," ","1950"," ","179.35"," ","520"," ","47.83"," "
"2016/17","S92000003","d",5,"SMR04"," ","2220"," ","204.83"," ","1550"," ","143.01"," ","420"," ","38.75"," "
"2017/18","S92000003","d",1,"SMR04"," ","6950"," ","640.76"," ","4760"," ","438.85"," ","940"," ","86.66"," "
"2017/18","S92000003","d",2,"SMR04"," ","5240"," ","482.95"," ","3470"," ","319.81"," ","870"," ","80.18"," "
"2017/18","S92000003","d",3,"SMR04"," ","3630"," ","334.42"," ","2510"," ","231.24"," ","640"," ","58.96"," "
"2017/18","S92000003","d",4,"SMR04"," ","2710"," ","249.78"," ","1880"," ","173.28"," ","520"," ","47.93"," "
"2017/18","S92000003","d",5,"SMR04"," ","2070"," ","190.83"," ","1440"," ","132.75"," ","320"," ","29.5"," "
"2018/19","S92000003","d",1,"SMR04"," ","7490"," ","690.61"," ","4880"," ","449.96"," ","940"," ","86.67"," "
"2018/19","S92000003","d",2,"SMR04"," ","5390"," ","497.3"," ","3410"," ","314.62"," ","820"," ","75.66"," "
"2018/19","S92000003","d",3,"SMR04"," ","3770"," ","346.45"," ","2470"," ","226.98"," ","610"," ","56.06"," "
"2018/19","S92000003","d",4,"SMR04"," ","2810"," ","256.71"," ","1890"," ","172.66"," ","490"," ","44.76"," "
"2018/19","S92000003","d",5,"SMR04"," ","2130"," ","195.97"," ","1420"," ","130.65"," ","330"," ","30.36"," "
"2019/20","S92000003","d",1,"SMR04"," ","7470"," ","687.77"," ","4770"," ","439.18"," ","740"," ","68.13"," "
"2019/20","S92000003","d",2,"SMR04"," ","5360"," ","493.2"," ","3360"," ","309.17"," ","650"," ","59.81"," "
"2019/20","S92000003","d",3,"SMR04"," ","3760"," ","344.36"," ","2450"," ","224.38"," ","500"," ","45.79"," "
"2019/20","S92000003","d",4,"SMR04"," ","2890"," ","261.15"," ","1950"," ","176.21"," ","410"," ","37.05"," "
"2019/20","S92000003","d",5,"SMR04"," ","2060"," ","188.66"," ","1410"," ","129.13"," ","280"," ","25.64"," "
"2020/21","S92000003","d",1,"SMR04"," ","6720"," ","620.66"," ","4050"," ","374.06"," ","820"," ","75.73"," "
"2020/21","S92000003","d",2,"SMR04"," ","4880"," ","450.28"," ","3080"," ","284.19"," ","740"," ","68.28"," "
"2020/21","S92000003","d",3,"SMR04"," ","3410"," ","312.36"," ","2220"," ","203.36"," ","510"," ","46.72"," "
"2020/21","S92000003","d",4,"SMR04"," ","2560"," ","229.69"," ","1660"," ","148.94"," ","410"," ","36.79"," "
"2020/21","S92000003","d",5,"SMR04"," ","2040"," ","186.6"," ","1280"," ","117.08"," ","310"," ","28.36"," "
"2021/22","S92000003","d",1,"SMR04"," ","6010"," ","557.66"," ","3850"," ","357.24"," ","780"," ","72.38"," "
"2021/22","S92000003","d",2,"SMR04"," ","4600"," ","424.95"," ","2970"," ","274.37"," ","700"," ","64.67"," "
"2021/22","S92000003","d",3,"SMR04"," ","3250"," ","296.1"," ","2160"," ","196.79"," ","500"," ","45.55"," "
"2021/22","S92000003","d",4,"SMR04"," ","2490"," ","220.38"," ","1740"," ","154"," ","380"," ","33.63"," "
"2021/22","S92000003","d",5,"SMR04"," ","1980"," ","181.28"," ","1290"," ","118.11"," ","330"," ","30.21"," "
"1997/98","S08000015"," ",1,"SMR04"," ","960"," ","1109.48"," ","640"," ","739.65"," ","150"," ","173.36"," "
"1997/98","S08000015"," ",2,"SMR04"," ","880"," ","780.72"," ","600"," ","532.31"," ","160"," ","141.95"," "
"1997/98","S08000015"," ",3,"SMR04"," ","410"," ","595.7"," ","290"," ","421.35"," ","70"," ","101.7"," "
"1997/98","S08000015"," ",4,"SMR04"," ","200"," ","366.46"," ","160"," ","293.17"," ","70"," ","128.26"," "
"1997/98","S08000015"," ",5,"SMR04"," ","180"," ","359.25"," ","120"," ","239.5"," ","40"," ","79.83"," "
"1997/98","S08000016"," ",1,"SMR04"," ","40"," ","1241.85"," ","20"," ","620.93"," ","0"," ","0"," "
"1997/98","S08000016"," ",2,"SMR04"," ","60"," ","861.33"," ","40"," ","574.22"," ","10"," ","143.55"," "
"1997/98","S08000016"," ",3,"SMR04"," ","250"," ","698.21"," ","160"," ","446.85"," ","60"," ","167.57"," "
"1997/98","S08000016"," ",4,"SMR04"," ","260"," ","586.39"," ","170"," ","383.41"," ","60"," ","135.32"," "
